name,price,product_url,브랜드,부위,gender,collaborate,uniform,sport,image_path,prob_cute,prob_hiphop,prob_classic,prob_interview,prob_date(first),prob_maturity,prob_luxury,prob_date,prob_casual,prob_young,prob_sexy,prob_trip,prob_beautiful,prob_lovely,prob_unique,prob_pretty,prob_picnic,prob_pattern,prob_Scary,prob_influencer,prob_work,prob_nice,prob_party,prob_sports,prob_art,predicted_labels
NT7UQ12K 화이트라벨 컬러 피크 EX 반팔 티셔츠,40600,https://www.musinsa.com/products/3895223,노스페이스,top,male,,,,"535_infront.jpg,535_back.jpg",0.210733488,0.159916192,0.641515315,0.055422764,0.117566369,0.076025665,0.086192973,0.199589416,0.481704652,0.15597406,0.093244225,0.141592324,0.166175902,0.087457031,0.190348685,0.118995883,0.262992471,0.177990377,0.167078257,0.07667543,0.056557801,0.159357473,0.113582186,0.196268231,0.128921047,classic
NT7UQ05B 플레이스 위 러브 반팔티,35000,https://www.musinsa.com/products/4112308,노스페이스,top,male,,,,"536_infront.jpg,536_back.jpg",0.168387532,0.151085705,0.64762485,0.065701276,0.152509302,0.090033695,0.106706545,0.217200711,0.532113194,0.151781067,0.089448079,0.149348453,0.154049307,0.097701117,0.179635018,0.104090415,0.266335249,0.169521227,0.148013145,0.065907858,0.076079324,0.149478093,0.12615262,0.203638524,0.103744358,"classic,casual"
NT7UQ03A 하이랜드 반팔 티셔츠,41000,https://www.musinsa.com/products/4004434,노스페이스,top,male,,,,"537_infront.jpg,537_back.jpg",0.200921386,0.158171773,0.655730784,0.075812444,0.158545077,0.086739868,0.107910439,0.211032256,0.512382269,0.157418638,0.104539275,0.146745101,0.190795332,0.107745282,0.208020702,0.133546501,0.276185989,0.205453515,0.201096252,0.079536349,0.066080742,0.165401012,0.135125682,0.190207496,0.124411978,"classic,casual"
코튼 기어 반팔 티셔츠 (S25MMFTS68) Black,56050,https://www.musinsa.com/products/4781851,노스페이스,top,male,,,,"538_infront.jpg,538_back.jpg",0.169075221,0.153492808,0.603624582,0.070692569,0.155865848,0.087965295,0.108398885,0.213129863,0.501610577,0.140869543,0.088127986,0.136183038,0.169717938,0.102354027,0.187859893,0.117898099,0.254686356,0.198984027,0.188604876,0.078731708,0.068858936,0.16888921,0.139134467,0.176879138,0.111295581,"classic,casual"
NT7UQ07J 화이트라벨 팀 아카이브 반팔 라운드티,39000,https://www.musinsa.com/products/4049984,노스페이스,top,male,,,,"539_infront.jpg,539_back.jpg",0.147400245,0.142152414,0.600528717,0.079840682,0.150455788,0.104604289,0.115670785,0.248029217,0.512710869,0.146922365,0.086496383,0.153747201,0.140504509,0.090882726,0.18544434,0.094070695,0.271230042,0.241966695,0.115841351,0.07026723,0.085863344,0.148140147,0.131140932,0.213106513,0.115559854,"classic,casual"
NT7UQ12L 화이트라벨 컬러 피크 EX 반팔 티셔츠,40600,https://www.musinsa.com/products/3895295,노스페이스,top,male,,,,"540_infront.jpg,540_back.jpg",0.138382256,0.128932849,0.673023522,0.056507993,0.124795236,0.080576681,0.092355318,0.219911814,0.523243129,0.135377392,0.082713895,0.140496552,0.126806557,0.07796374,0.160798505,0.081530631,0.25376758,0.182923332,0.107439354,0.055470537,0.058649298,0.128414005,0.101754487,0.232157335,0.088690206,"classic,casual"
코튼 발포 그래픽 반팔 티셔츠 (S25MMFTS66) Pastel Blue,56050,https://www.musinsa.com/products/4814914,스노우피클 어패럴,top,male,,,,"541_infront.jpg,541_back.jpg",0.126248091,0.128466621,0.62970221,0.060574453,0.153670326,0.091079004,0.097986244,0.229618505,0.503779292,0.126233131,0.079992093,0.134531662,0.149166688,0.08370661,0.175383165,0.090717882,0.261273623,0.206023142,0.135551527,0.064649679,0.064366937,0.142674953,0.114102483,0.23107259,0.085706212,"classic,casual"
NT7UQ14D 남성 캠프 에브리데이 반팔 라운드 티,35000,https://www.musinsa.com/products/4112284,노스페이스,top,male,,,,"542_infront.jpg,542_back.jpg",0.141770259,0.15160732,0.614916623,0.095726579,0.204170659,0.136212155,0.134601742,0.286654919,0.50469166,0.161538303,0.107136957,0.176818296,0.164714113,0.109098405,0.207061052,0.107490204,0.298231661,0.299390197,0.132702947,0.104744054,0.104697399,0.173344955,0.153203025,0.281848192,0.125255108,"classic,casual"
NT7UQ07K 화이트라벨 팀 아카이브 반팔 라운드티,39000,https://www.musinsa.com/products/4062598,노스페이스,top,male,,,,"543_infront.jpg,543_back.jpg",0.151193544,0.137628764,0.605867445,0.071687438,0.159712106,0.087478399,0.113826826,0.219510466,0.525444686,0.138229027,0.092138126,0.145746469,0.151337668,0.098235361,0.185278803,0.098891526,0.267562151,0.215890601,0.148296714,0.067552172,0.070978746,0.153914645,0.128227293,0.202879533,0.099139877,"classic,casual"
NT7UQ19A 남성 올 라운드 EX 반팔 라운드티,49000,https://www.musinsa.com/products/3884713,노스페이스,top,male,,,,"544_infront.jpg,544_back.jpg",0.105475709,0.106304079,0.588203251,0.06236846,0.148281708,0.082662836,0.101934999,0.204513684,0.497650862,0.105329886,0.075711615,0.129523084,0.11638774,0.078930639,0.160166606,0.074427418,0.250863075,0.197767586,0.102308191,0.056350619,0.061798614,0.12511228,0.108646281,0.173704013,0.072559252,classic
